userId,tmdbId,rating
199999,9909,2.5
799999,9909,3
3199999,9909,4
3299999,9909,4
3699999,9909,3
3999999,9909,3
7399999,9909,3.5
8899999,9909,3
9699999,9909,2.5
11099999,9909,4
11199999,9909,3.5
15099999,9909,2.5
16199999,9909,3
16599999,9909,3.5
18699999,9909,3
24299999,9909,4
25499999,9909,3
28899999,9909,3
31099999,9909,1.5
31199999,9909,3
32599999,9909,4.5
33899999,9909,3
34199999,9909,4.5
38699999,9909,2
39499999,9909,2
45299999,9909,2.5
45799999,9909,1.5
46199999,9909,2
46899999,9909,1.5
48599999,9909,4
48799999,9909,5
49699999,9909,4
51199999,9909,4
51699999,9909,4
52599999,9909,4
59099999,9909,3
59699999,9909,3
60199999,9909,3
60799999,9909,3.5
61999999,9909,3
63999999,9909,3
64199999,9909,4
199999,11360,3
1999999,11360,5
3599999,11360,1.5
6199999,11360,2.5
7399999,11360,3
9999999,11360,3
10299999,11360,5
12899999,11360,4
17599999,11360,4
18599999,11360,3
18899999,11360,5
21399999,11360,1.5
21499999,11360,3
26899999,11360,4
29499999,11360,3
30399999,11360,3.5
31199999,11360,3
36399999,11360,4
38799999,11360,5
42099999,11360,3
44299999,11360,4
45299999,11360,4
46699999,11360,5
46899999,11360,3.5
47199999,11360,3.5
47299999,11360,4
51499999,11360,3
51899999,11360,4
52999999,11360,3
53099999,11360,4
54799999,11360,5
55199999,11360,4
56499999,11360,5
57599999,11360,4
57799999,11360,4.5
58299999,11360,4
60299999,11360,3
60399999,11360,4
60599999,11360,4
60799999,11360,3
64699999,11360,4
66599999,11360,4
199999,819,3
1999999,819,3
2399999,819,3.5
3099999,819,3
7099999,819,5
7399999,819,4
9099999,819,4
10299999,819,2
10599999,819,4
11999999,819,4
14199999,819,3
15099999,819,3
16599999,819,2.5
21299999,819,4
23399999,819,3
25299999,819,3
29299999,819,4
30699999,819,3
31899999,819,3
32599999,819,3.5
38099999,819,4
45299999,819,3
46199999,819,4
50799999,819,2
50999999,819,4
51899999,819,5
53499999,819,4
53799999,819,5
58499999,819,4.5
60899999,819,3
64199999,819,4
64799999,819,4
66599999,819,3
199999,1103,2
799999,1103,3
1999999,1103,3
2199999,1103,3
3099999,1103,3
3499999,1103,4
4199999,1103,4.5
4999999,1103,3
5799999,1103,3
6699999,1103,4
7399999,1103,4
7799999,1103,4
10399999,1103,2.5
10599999,1103,3.5
11899999,1103,3
11999999,1103,4
15599999,1103,4
17799999,1103,3
19599999,1103,1
24899999,1103,5
27699999,1103,4
29999999,1103,4.5
31199999,1103,1.5
32599999,1103,3
34699999,1103,4
35199999,1103,3
35399999,1103,2
35899999,1103,3
38099999,1103,4
39099999,1103,3
42399999,1103,4
46199999,1103,3.5
46399999,1103,3
46899999,1103,2.5
47299999,1103,4
51499999,1103,3
51699999,1103,3
51899999,1103,3
52299999,1103,4
54799999,1103,3.5
56499999,1103,4
58099999,1103,2
58599999,1103,3
59699999,1103,3.5
59799999,1103,4
62499999,1103,3
63499999,1103,3
65499999,1103,4.5
199999,11216,4
2399999,11216,5
3899999,11216,4.5
5699999,11216,2
9499999,11216,3.5
10299999,11216,4
11999999,11216,4
13099999,11216,4
13399999,11216,5
14899999,11216,5
19899999,11216,3.5
22999999,11216,4.5
23299999,11216,2
26299999,11216,3
28099999,11216,5
28399999,11216,3.5
30699999,11216,4
32099999,11216,5
32199999,11216,5
32599999,11216,2
33099999,11216,5
34199999,11216,4
35899999,11216,5
37299999,11216,3
37399999,11216,5
38799999,11216,5
39199999,11216,5
43099999,11216,4.5
44199999,11216,5
45299999,11216,4
46099999,11216,3.5
46899999,11216,3
47299999,11216,4
48199999,11216,5
49799999,11216,5
50599999,11216,4
50999999,11216,4
51099999,11216,5
52199999,11216,5
53799999,11216,5
53999999,11216,5
54599999,11216,5
54799999,11216,5
58099999,11216,4
58599999,11216,5
58799999,11216,4.5
199999,11778,2
1599999,11778,4
1799999,11778,4.5
1999999,11778,4
2199999,11778,4
2299999,11778,3
2399999,11778,3
3099999,11778,5
3499999,11778,4
5699999,11778,2
5799999,11778,5
7399999,11778,4
10299999,11778,5
10599999,11778,4
15299999,11778,3.5
19599999,11778,3
23299999,11778,5
24899999,11778,5
25799999,11778,4
26599999,11778,4
30399999,11778,4
30999999,11778,4
34499999,11778,5
35399999,11778,1.5
37099999,11778,4
37399999,11778,5
38099999,11778,4
39199999,11778,5
39499999,11778,0.5
42399999,11778,3.5
43499999,11778,4
45299999,11778,5
45799999,11778,4
46199999,11778,3
46899999,11778,4
47299999,11778,2
50999999,11778,5
52799999,11778,4.5
53399999,11778,3
54799999,11778,5
56499999,11778,4
57799999,11778,5
58599999,11778,4
58799999,11778,5
59299999,11778,2
64799999,11778,5
64899999,11778,2
66199999,11778,4.5
199999,665,2
799999,665,4
1599999,665,2
1999999,665,4
2199999,665,5
2399999,665,4
3499999,665,5
4999999,665,5
10299999,665,4
11999999,665,5
13799999,665,5
19599999,665,5
20799999,665,0.5
21299999,665,3.5
22999999,665,5
23299999,665,4
31199999,665,4
31399999,665,5
32699999,665,3
33599999,665,3
34699999,665,2
35899999,665,4
36399999,665,5
38799999,665,3
38899999,665,5
39099999,665,3
39199999,665,4
40499999,665,5
40599999,665,4.5
43499999,665,5
45299999,665,3
46199999,665,4
46699999,665,4
46899999,665,2.5
47099999,665,3
48899999,665,3.5
50599999,665,3.5
52999999,665,2
55999999,665,5
57599999,665,3
57799999,665,5
58599999,665,5
58799999,665,5
59699999,665,4
59899999,665,4
60599999,665,4
199999,783,2
1599999,783,4
2099999,783,3.5
2399999,783,5
4899999,783,4
7399999,783,4.5
7899999,783,5
8899999,783,4
10299999,783,5
11999999,783,4
13099999,783,4
19599999,783,4
21199999,783,5
21299999,783,4
23299999,783,5
23699999,783,3
26599999,783,4
28199999,783,4.5
28399999,783,4.5
30999999,783,5
31199999,783,5
33599999,783,4.5
35399999,783,2
38799999,783,3
38899999,783,4.5
39199999,783,4
39499999,783,1.5
41999999,783,4.5
43499999,783,2
45299999,783,4
46899999,783,3.5
49799999,783,4
50599999,783,3.5
52799999,783,2.5
52999999,783,4
53299999,783,4.5
53999999,783,3
54599999,783,5
54799999,783,5
56499999,783,4
57599999,783,4
57699999,783,5
58799999,783,5
60199999,783,4.5
60799999,783,3.5
63499999,783,3
199999,6114,3.5
1599999,6114,2
1999999,6114,3
2299999,6114,4.5
